207 | Open: 1 | Close: 0 | Depth: 5
208 | Open: 1 | Close: 0 | Depth: 6
209 | Open: 1 | Close: 0 | Depth: 7
210 | Open: 0 | Close: 0 | Depth: 7
211 | Open: 0 | Close: 0 | Depth: 7
212 | Open: 0 | Close: 0 | Depth: 7
213 | Open: 0 | Close: 1 | Depth: 6
214 | Open: 1 | Close: 0 | Depth: 7
215 | Open: 0 | Close: 0 | Depth: 7
216 | Open: 0 | Close: 0 | Depth: 7
217 | Open: 0 | Close: 0 | Depth: 7
218 | Open: 0 | Close: 1 | Depth: 6
219 | Open: 0 | Close: 1 | Depth: 5
220 | Open: 0 | Close: 1 | Depth: 4
221 | Open: 0 | Close: 1 | Depth: 3
222 | Open: 0 | Close: 0 | Depth: 3
223 | Open: 1 | Close: 0 | Depth: 4
224 | Open: 0 | Close: 0 | Depth: 4
225 | Open: 0 | Close: 1 | Depth: 3
226 | Open: 0 | Close: 1 | Depth: 2
227 | Open: 1 | Close: 1 | Depth: 2
228 | Open: 0 | Close: 1 | Depth: 1
229 | Open: 0 | Close: 1 | Depth: 0
230 | Open: 0 | Close: 0 | Depth: 0
231 | Open: 0 | Close: 0 | Depth: 0
232 | Open: 1 | Close: 0 | Depth: 1
233 | Open: 1 | Close: 0 | Depth: 2
234 | Open: 1 | Close: 0 | Depth: 3
235 | Open: 0 | Close: 0 | Depth: 3
236 | Open: 0 | Close: 0 | Depth: 3
237 | Open: 0 | Close: 0 | Depth: 3
238 | Open: 0 | Close: 1 | Depth: 2
239 | Open: 1 | Close: 0 | Depth: 3
240 | Open: 0 | Close: 0 | Depth: 3
241 | Open: 0 | Close: 0 | Depth: 3
242 | Open: 0 | Close: 0 | Depth: 3
243 | Open: 0 | Close: 1 | Depth: 2
244 | Open: 0 | Close: 1 | Depth: 1
245 | Open: 0 | Close: 0 | Depth: 1
246 | Open: 0 | Close: 0 | Depth: 1
247 | Open: 1 | Close: 0 | Depth: 2
248 | Open: 0 | Close: 0 | Depth: 2
249 | Open: 1 | Close: 0 | Depth: 3
250 | Open: 1 | Close: 1 | Depth: 3
251 | Open: 0 | Close: 0 | Depth: 3
252 | Open: 1 | Close: 0 | Depth: 4
253 | Open: 1 | Close: 0 | Depth: 5
254 | Open: 3 | Close: 3 | Depth: 5
255 | Open: 3 | Close: 3 | Depth: 5
256 | Open: 0 | Close: 1 | Depth: 4
257 | Open: 1 | Close: 0 | Depth: 5
258 | Open: 3 | Close: 3 | Depth: 5
259 | Open: 3 | Close: 3 | Depth: 5
260 | Open: 0 | Close: 1 | Depth: 4
261 | Open: 1 | Close: 0 | Depth: 5
262 | Open: 3 | Close: 3 | Depth: 5
263 | Open: 0 | Close: 0 | Depth: 5
264 | Open: 0 | Close: 0 | Depth: 5
265 | Open: 0 | Close: 0 | Depth: 5
266 | Open: 0 | Close: 0 | Depth: 5
267 | Open: 0 | Close: 0 | Depth: 5
268 | Open: 3 | Close: 3 | Depth: 5
269 | Open: 0 | Close: 1 | Depth: 4
270 | Open: 1 | Close: 0 | Depth: 5
271 | Open: 2 | Close: 1 | Depth: 6
272 | Open: 1 | Close: 0 | Depth: 7
273 | Open: 0 | Close: 0 | Depth: 7
274 | Open: 0 | Close: 0 | Depth: 7
275 | Open: 0 | Close: 0 | Depth: 7
276 | Open: 0 | Close: 0 | Depth: 7
277 | Open: 0 | Close: 0 | Depth: 7
278 | Open: 0 | Close: 1 | Depth: 6
279 | Open: 0 | Close: 1 | Depth: 5
280 | Open: 3 | Close: 3 | Depth: 5
281 | Open: 0 | Close: 1 | Depth: 4
282 | Open: 1 | Close: 0 | Depth: 5
283 | Open: 3 | Close: 3 | Depth: 5
284 | Open: 3 | Close: 3 | Depth: 5
285 | Open: 0 | Close: 1 | Depth: 4
286 | Open: 1 | Close: 0 | Depth: 5
287 | Open: 2 | Close: 1 | Depth: 6
288 | Open: 1 | Close: 0 | Depth: 7
289 | Open: 0 | Close: 0 | Depth: 7
290 | Open: 0 | Close: 1 | Depth: 6
291 | Open: 0 | Close: 1 | Depth: 5
292 | Open: 2 | Close: 1 | Depth: 6
293 | Open: 1 | Close: 0 | Depth: 7
294 | Open: 0 | Close: 0 | Depth: 7
295 | Open: 0 | Close: 0 | Depth: 7
296 | Open: 0 | Close: 0 | Depth: 7
297 | Open: 0 | Close: 0 | Depth: 7
298 | Open: 0 | Close: 0 | Depth: 7
299 | Open: 0 | Close: 1 | Depth: 6
300 | Open: 0 | Close: 1 | Depth: 5
301 | Open: 0 | Close: 1 | Depth: 4
302 | Open: 1 | Close: 0 | Depth: 5
303 | Open: 3 | Close: 3 | Depth: 5
304 | Open: 0 | Close: 0 | Depth: 5
305 | Open: 0 | Close: 0 | Depth: 5
306 | Open: 0 | Close: 0 | Depth: 5
307 | Open: 0 | Close: 0 | Depth: 5
308 | Open: 3 | Close: 3 | Depth: 5
309 | Open: 0 | Close: 1 | Depth: 4
310 | Open: 0 | Close: 0 | Depth: 4
311 | Open: 1 | Close: 0 | Depth: 5
312 | Open: 2 | Close: 1 | Depth: 6
313 | Open: 1 | Close: 1 | Depth: 6
314 | Open: 0 | Close: 1 | Depth: 5
315 | Open: 0 | Close: 1 | Depth: 4
316 | Open: 0 | Close: 0 | Depth: 4
317 | Open: 1 | Close: 0 | Depth: 5
318 | Open: 0 | Close: 0 | Depth: 5
319 | Open: 1 | Close: 1 | Depth: 5
320 | Open: 0 | Close: 0 | Depth: 5
321 | Open: 0 | Close: 0 | Depth: 5
322 | Open: 0 | Close: 1 | Depth: 4
323 | Open: 0 | Close: 1 | Depth: 3
324 | Open: 0 | Close: 1 | Depth: 2
325 | Open: 0 | Close: 0 | Depth: 2
326 | Open: 1 | Close: 0 | Depth: 3
327 | Open: 1 | Close: 1 | Depth: 3
328 | Open: 0 | Close: 0 | Depth: 3
329 | Open: 1 | Close: 0 | Depth: 4
330 | Open: 1 | Close: 0 | Depth: 5
331 | Open: 0 | Close: 0 | Depth: 5
332 | Open: 0 | Close: 0 | Depth: 5
333 | Open: 0 | Close: 1 | Depth: 4
334 | Open: 1 | Close: 0 | Depth: 5
335 | Open: 0 | Close: 0 | Depth: 5
336 | Open: 0 | Close: 0 | Depth: 5
337 | Open: 0 | Close: 1 | Depth: 4
338 | Open: 1 | Close: 1 | Depth: 4
339 | Open: 1 | Close: 0 | Depth: 5
340 | Open: 0 | Close: 0 | Depth: 5
341 | Open: 0 | Close: 0 | Depth: 5
342 | Open: 0 | Close: 0 | Depth: 5
343 | Open: 0 | Close: 0 | Depth: 5
344 | Open: 0 | Close: 0 | Depth: 5
345 | Open: 0 | Close: 0 | Depth: 5
346 | Open: 0 | Close: 1 | Depth: 4
347 | Open: 1 | Close: 0 | Depth: 5
348 | Open: 0 | Close: 0 | Depth: 5
349 | Open: 0 | Close: 0 | Depth: 5
350 | Open: 0 | Close: 1 | Depth: 4
351 | Open: 1 | Close: 0 | Depth: 5
352 | Open: 0 | Close: 0 | Depth: 5
353 | Open: 1 | Close: 0 | Depth: 6
354 | Open: 1 | Close: 0 | Depth: 7
355 | Open: 0 | Close: 0 | Depth: 7
356 | Open: 0 | Close: 0 | Depth: 7
357 | Open: 0 | Close: 1 | Depth: 6
358 | Open: 1 | Close: 0 | Depth: 7
359 | Open: 0 | Close: 0 | Depth: 7
360 | Open: 0 | Close: 1 | Depth: 6
361 | Open: 0 | Close: 0 | Depth: 6
362 | Open: 0 | Close: 1 | Depth: 5
363 | Open: 0 | Close: 1 | Depth: 4
364 | Open: 0 | Close: 0 | Depth: 4
365 | Open: 0 | Close: 1 | Depth: 3
366 | Open: 0 | Close: 1 | Depth: 2
367 | Open: 0 | Close: 1 | Depth: 1
368 | Open: 0 | Close: 0 | Depth: 1
369 | Open: 0 | Close: 0 | Depth: 1
370 | Open: 1 | Close: 0 | Depth: 2
371 | Open: 1 | Close: 0 | Depth: 3
372 | Open: 1 | Close: 0 | Depth: 4
373 | Open: 0 | Close: 0 | Depth: 4
374 | Open: 0 | Close: 0 | Depth: 4
375 | Open: 1 | Close: 0 | Depth: 5
376 | Open: 0 | Close: 0 | Depth: 5
377 | Open: 0 | Close: 0 | Depth: 5
378 | Open: 0 | Close: 0 | Depth: 5
379 | Open: 0 | Close: 0 | Depth: 5
380 | Open: 0 | Close: 0 | Depth: 5
381 | Open: 1 | Close: 1 | Depth: 5
382 | Open: 0 | Close: 0 | Depth: 5
383 | Open: 1 | Close: 1 | Depth: 5
384 | Open: 0 | Close: 0 | Depth: 5
385 | Open: 1 | Close: 0 | Depth: 6
386 | Open: 1 | Close: 1 | Depth: 6
387 | Open: 1 | Close: 1 | Depth: 6
388 | Open: 0 | Close: 0 | Depth: 6
389 | Open: 0 | Close: 0 | Depth: 6
390 | Open: 1 | Close: 1 | Depth: 6
391 | Open: 0 | Close: 0 | Depth: 6
392 | Open: 0 | Close: 0 | Depth: 6
393 | Open: 1 | Close: 1 | Depth: 6
394 | Open: 0 | Close: 0 | Depth: 6
395 | Open: 0 | Close: 1 | Depth: 5
396 | Open: 0 | Close: 0 | Depth: 5
397 | Open: 0 | Close: 1 | Depth: 4
398 | Open: 0 | Close: 0 | Depth: 4
399 | Open: 0 | Close: 0 | Depth: 4
400 | Open: 1 | Close: 1 | Depth: 4
401 | Open: 0 | Close: 0 | Depth: 4
402 | Open: 0 | Close: 0 | Depth: 4
403 | Open: 0 | Close: 1 | Depth: 3
404 | Open: 1 | Close: 0 | Depth: 4
405 | Open: 0 | Close: 0 | Depth: 4
406 | Open: 0 | Close: 0 | Depth: 4
407 | Open: 1 | Close: 0 | Depth: 5
408 | Open: 0 | Close: 0 | Depth: 5
409 | Open: 1 | Close: 1 | Depth: 5
410 | Open: 0 | Close: 0 | Depth: 5
411 | Open: 1 | Close: 0 | Depth: 6
412 | Open: 1 | Close: 0 | Depth: 7
413 | Open: 0 | Close: 0 | Depth: 7
414 | Open: 1 | Close: 0 | Depth: 8
415 | Open: 1 | Close: 0 | Depth: 9
416 | Open: 0 | Close: 0 | Depth: 9
417 | Open: 1 | Close: 0 | Depth: 10
418 | Open: 0 | Close: 0 | Depth: 10
419 | Open: 0 | Close: 0 | Depth: 10
420 | Open: 0 | Close: 1 | Depth: 9
421 | Open: 0 | Close: 1 | Depth: 8
422 | Open: 1 | Close: 0 | Depth: 9
423 | Open: 0 | Close: 0 | Depth: 9
424 | Open: 0 | Close: 0 | Depth: 9
425 | Open: 0 | Close: 1 | Depth: 8
426 | Open: 0 | Close: 1 | Depth: 7
427 | Open: 0 | Close: 0 | Depth: 7
428 | Open: 1 | Close: 0 | Depth: 8
429 | Open: 1 | Close: 0 | Depth: 9
430 | Open: 1 | Close: 0 | Depth: 10
431 | Open: 0 | Close: 0 | Depth: 10
432 | Open: 0 | Close: 0 | Depth: 10
433 | Open: 0 | Close: 1 | Depth: 9
434 | Open: 1 | Close: 0 | Depth: 10
435 | Open: 0 | Close: 0 | Depth: 10
436 | Open: 0 | Close: 0 | Depth: 10
437 | Open: 0 | Close: 0 | Depth: 10
438 | Open: 0 | Close: 0 | Depth: 10
439 | Open: 0 | Close: 0 | Depth: 10
440 | Open: 0 | Close: 0 | Depth: 10
441 | Open: 0 | Close: 1 | Depth: 9
442 | Open: 0 | Close: 1 | Depth: 8
443 | Open: 0 | Close: 1 | Depth: 7
444 | Open: 0 | Close: 0 | Depth: 7
445 | Open: 1 | Close: 0 | Depth: 8
446 | Open: 0 | Close: 0 | Depth: 8
447 | Open: 0 | Close: 0 | Depth: 8
448 | Open: 0 | Close: 0 | Depth: 8
449 | Open: 0 | Close: 0 | Depth: 8
450 | Open: 0 | Close: 1 | Depth: 7
451 | Open: 0 | Close: 0 | Depth: 7
452 | Open: 1 | Close: 0 | Depth: 8
453 | Open: 1 | Close: 0 | Depth: 9
454 | Open: 0 | Close: 0 | Depth: 9
455 | Open: 0 | Close: 0 | Depth: 9
456 | Open: 0 | Close: 0 | Depth: 9
457 | Open: 0 | Close: 0 | Depth: 9
458 | Open: 0 | Close: 0 | Depth: 9
459 | Open: 0 | Close: 0 | Depth: 9
460 | Open: 0 | Close: 0 | Depth: 9
461 | Open: 0 | Close: 0 | Depth: 9
462 | Open: 0 | Close: 0 | Depth: 9
463 | Open: 0 | Close: 0 | Depth: 9
464 | Open: 1 | Close: 0 | Depth: 10
465 | Open: 1 | Close: 1 | Depth: 10
466 | Open: 1 | Close: 1 | Depth: 10
467 | Open: 0 | Close: 1 | Depth: 9
468 | Open: 0 | Close: 0 | Depth: 9
469 | Open: 0 | Close: 0 | Depth: 9
470 | Open: 0 | Close: 0 | Depth: 9
471 | Open: 0 | Close: 0 | Depth: 9
472 | Open: 0 | Close: 0 | Depth: 9
473 | Open: 0 | Close: 0 | Depth: 9
474 | Open: 0 | Close: 0 | Depth: 9
475 | Open: 0 | Close: 0 | Depth: 9
476 | Open: 0 | Close: 0 | Depth: 9
477 | Open: 0 | Close: 0 | Depth: 9
478 | Open: 0 | Close: 0 | Depth: 9
479 | Open: 0 | Close: 0 | Depth: 9
480 | Open: 0 | Close: 0 | Depth: 9
481 | Open: 0 | Close: 0 | Depth: 9
482 | Open: 0 | Close: 0 | Depth: 9
483 | Open: 1 | Close: 0 | Depth: 10
484 | Open: 1 | Close: 1 | Depth: 10
485 | Open: 1 | Close: 1 | Depth: 10
486 | Open: 1 | Close: 1 | Depth: 10
487 | Open: 0 | Close: 1 | Depth: 9
488 | Open: 0 | Close: 0 | Depth: 9
489 | Open: 0 | Close: 0 | Depth: 9
490 | Open: 0 | Close: 1 | Depth: 8
491 | Open: 0 | Close: 1 | Depth: 7
